COL 1,COL 2,COL 3
Bandstand: The Broadway Musical,Fathom,839554.00
Bandstand: The Broadway Musical (2018),Fathom,91000.00
Batman (1989) 30th Anniversary,Fathom,159419.00
Batman and Robin (Fathom Event),Fathom,28597.00
Batman Forever (Fathom Event),Fathom,38014.00
Batman Returns (Event),Fathom,70642.00
Batman: Mask of the Phantasm (25th Anniversary),Fathom,178133.00
Batti Gul Meter Chalu,Eros,249539.00
Bauhaus Spirit,Icar.,17122.00
"Be Natural: The Untold Story of Alice Guy-Blach?,Zeit.",54003.00,NULL
Beast,RAtt.,800365.00
Beautiful Boy (2018),Amazon,7649973.00
Beautifully Broken,AAE,1208925.00
Beauty and the Beholder,R1,1368.00
Beauty and the Beholder,R1,1368.00
Beauty and the Beholder,R1,1368.00
Beauty and the Beholder,R1,1368.00
Beauty and the Beholder,R1,1368.00
Beauty and the Dogs,Osci.,8915.00
Beauty and the Dogs,Osci.,8915.00
Beauty and the Dogs,Osci.,8915.00
Beauty and the Dogs,Osci.,8915.00
Beauty and the Dogs,Osci.,8915.00
Becoming Astrid,MBox,120486.00
Beetlejuice (30th Anniversary),WB,512947.00
Before We Vanish,Super,52087.00
Beirut,BST,5019226.00
Bel Canto,Scre.,125569.00
Believer,WGUSA,365639.00
"Belle and Sebastian, Friends for Life",EOne,105890.00
Belle de jour (2018 re-release),Jan.,26331.00
Ben is Back,RAtt.,3703184.00
Ben-Hur (60th Anniversary),Fathom,422622.00
Best F(r)iends Movie,Fathom,252410.00
Best F(r)iends Volume Two,Fathom,141524.00
Beuys,KL,65410.00
Bharat Ane Nenu,GrtIndia,2663090.00
Bhavesh Joshi Superhero,Eros,57376.00
Big 30th Anniversary,Fathom,258507.00
Big Brother,WGUSA,85624.00
Bigger,Free,46382.00
Biggest Little Farm,Neon,1825163.00
Bilal: A New Breed of Hero,VE,490973.00
Billionaire Boy's Club,VE,1349.00
Billionaire Boy's Club,VE,1349.00
Billionaire Boy's Club,VE,1349.00
Billionaire Boy's Club,VE,1349.00
Billionaire Boy's Club,VE,1349.00
Birds of Passage,Orch.,507259.00
Bisbee '17,4th Row,117470.00
Black '47,IFC,57520.00
Black Mother,Ghop,18542.00
Black Panther,BV,700059566.00
BlacKkKlansman,Focus,49275340.00
Blaze (2018),IFC,704955.00
Blindspotting,LG/S,4333394.00
Blockers,Uni.,60311495.00
Blood Feast,Hann.,8708.00
Blood Feast,Hann.,8708.00
Blood Feast,Hann.,8708.00
Blood Feast,Hann.,8708.00
Blood Feast,Hann.,8708.00
Blood Fest,Fathom,82774.00
Bob Le Flambeur (2017 re-release),Rialto,15586.00
Bodied,Neon,113956.00
Body at Brighton Rock,Magn.,5123.00
Bohemian Rhapsody,Fox,216428042.00
Bolshoi Ballet 2017/2018: Coppelia,Fathom,202217.00
Bolshoi Ballet 2017/2018: Giselle,Fathom,302681.00
Bolshoi Ballet 2017/2018: Romeo and Juliet,Fathom,313088.00
Bolshoi Ballet 2017/2018: The Flames of Paris,Fathom,175922.00
Bolshoi Ballet 2017/2018: The Lady of Camellias,Fathom,167991.00
Bolshoi Ballet: Carmen/Petrushka (2019),Fathom,207523.00
Bolshoi Ballet: Don Quixote (2018),Fathom,187946.00
Bolshoi Ballet: La Sylphide (2018),Fathom,171177.00
Bolshoi Ballet: Sleeping Beauty (2019),Fathom,311368.00
Bolshoi Ballet: Swan Lake,Fathom,88905.00
Bolshoi Ballet: The Golden Age (2019),Fathom,171916.00
Bolshoi Ballet: The Nutcracker,Fathom,323928.00
Bomb City,Grav.,59329.00
Book Club,Par.,68566296.00
Booksmart,UAR,14366831.00
Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,Magn.,166616.00
Border,Neon,771930.00
Borg vs. McEnroe,Neon,231346.00
Boundaries,SPC,703438.00
Boy Erased,Focus,6788692.00
Breaking In (2018),Uni.,46840590.00
Breakthrough,Fox,40301588.00
Breath,FR,37108.00
Bricked,Gathr,9045.00
Bright Ones,Fathom,165627.00
Brightburn,SGem,14212552.00
BTS World Tour: Love Yourself in Seoul,Fathom,3509917.00
Buddy (2019),Ghop,22784.00
Bullitt 50th Anniversary,Fathom,511350.00
Bullitt County,Mr. Pictures,11257.00
Bumblebee,Par.,127195589.00
Burn the Stage: The Movie,Trafalgar,4201819.00
Burning,WGUSA,718991.00
But Deliver Us from Evil,Indic.,285169.00
Buttons: A New Musical Film,Fathom,151983.00
Buybust,WGUSA,178471.00
Bye Bye Germany,FM,73730.00
Cage Fighter,IFC,3392.00
Cage Fighter,IFC,3392.00
Cage Fighter,IFC,3392.00
Cage Fighter,IFC,3392.00
Cage Fighter,IFC,3392.00
Calling All Earthlings,Carpe Stella,6756.00
Calling All Earthlings,Carpe Stella,6756.00
Calling All Earthlings,Carpe Stella,6756.00
Calling All Earthlings,Carpe Stella,6756.00
Calling All Earthlings,Carpe Stella,6756.00
Can You Ever Forgive Me?,FoxS,8803865.00
Canal Street,SG,251917.00
Canelo vs Rocky,Fathom,54916.00
Canelo vs. GGG 2,Fathom,707875.00
Canelo vs. Jacobs,Fathom,230703.00
Capernaum,SPC,1661096.00
Captain Marvel,BV,426181433.00
Captive State,Focus,5958315.00
Carmine Street Guitars,Abr.,41467.00
Castle in the Sky - Studio Ghibli Fest 2018,Fathom,523664.00
CatVideoFest 2019,Osci.,454030.00
Champion (2018),WGUSA,97472.00
Chappaquiddick,ENTMP,17395520.00
Charlie Says,IFC,40685.00
Charm City,PBS,29335.00
Chasing Portraits,FRun,3076.00
Chasing the Blues,Ammo,14030.00
Chef Flynn,KL,68407.00
Chokehold,Ammo,5200.00
Chonda Pierce: Unashamed,Fathom,787979.00
Christ Stopped at Eboli (re-release),Rialto,45996.00
Chronicle of Anna Magdalena Bach,Ghop,17527.00
Cirque du Soleil: KURIOS - Cabinet Of Curiosities,Fathom,413039.00
Claire's Camera,CGld,83418.00
Class Rank,Cdgm.,10452.00
Cliffs of Freedom,Round Hill,72476.00
Climax,A24,817339.00
Cobra Kai Premiere Event feat. The Karate Kid,Fathom,185082.00
Cocote,Ghop,3815.00
Cocote,Ghop,3815.00
Cocote,Ghop,3815.00
Cocote,Ghop,3815.00
Cocote,Ghop,3815.00
Code Geass: Lelouch of the Resurrection,FUN,522805.00
Cold Pursuit,LG/S,32138862.00
Cold War (2018),Amazon,4580048.00
Cold Water (2018 re-release),Jan.,30209.00
Colette,BST,5137622.00
Combat Obscura,Osci.,14242.00
Condorito: La Pelicula,LGF,447719.00
Crazy Rich Asians,WB,174532921.00
Creed II,MGM,115715889.00
Crime + Punishment,IFC,18644.00
Cruel Intentions (20th Anniversary),Sony,445218.00
Cuban Food Stories,FRun,5434.00
Cuban Food Stories,FRun,5434.00
Cuban Food Stories,FRun,5434.00
Cuban Food Stories,FRun,5434.00
Cuban Food Stories,FRun,5434.00
Custody,KL,83882.00
Cynthia,Indic.,58177.00
Cyrano de Bergerac presented by Com?die-Fran?aise,Fathom,86300.00
Damsel,Magn.,305136.00
Dark Money,PBS,217932.00
Dark River,FR,7714.00
Dark River,FR,7714.00
Dark River,FR,7714.00
Dark River,FR,7714.00
Dark River,FR,7714.00
Daughter of Mine,Strand,10628.00
"DCI 2018: Big, Loud & Live 15",Fathom,603320.00
DCI 2018: Tour Premiere,Fathom,434008.00
De De Pyaar De,Yash,425934.00
Deadpool 2,Fox,318491426.00
Death House,Hann.,23833.00
Death of a Nation,QF,5885881.00
Death Wish (2018),MGM,34017028.00
Default,CJ,203775.00
Den of Thieves,STX,44947622.00
Desolation,PDF,18490.00
Destroyer,Annapurna,1533324.00
Detective Chinatown 2,WB,1983984.00
Detective Dee: The Four Heavenly Kings,WGUSA,262963.00
Detective K: Secret of the Living Dead,WGUSA,104013.00
Detour (2018 re-release),Jan.,16172.00
Diamantino,KL,36388.00
"Diana Ross: Her Life, Love And Legacy",Fathom,160968.00
Diane,IFC,336166.00
Did You Wonder Who Fired the Gun?,Ghop,20765.00
Digimon Adventure Tri. 4: Loss,Fathom,59114.00
Digimon Adventure Tri. 5: Coexistence,Fathom,52339.00
Digimon Adventure Tri. 6: Future,Fathom,54324.00
Dirty Dancing (Fathom Event),Fathom,622968.00
Disney's Christopher Robin,BV,99215042.00
Disobedience,BST,3498782.00
