CHECKSUM,DATA_FREE,NODEGROUP,CHECK_TIME,TABLE_NAME,TABLE_ROWS,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,AVG_ROW_LENGTH,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
2023-02-19 16:01:09,0,def,0,<blank>,<blank>,0,16434816,<blank>,<blank>,<blank>,<blank>,384,<blank>,<blank>,<blank>,<blank>,CHARACTER_SETS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2023-02-19 16:01:09,0,def,0,<blank>,<blank>,0,16704765,<blank>,<blank>,<blank>,<blank>,231,<blank>,<blank>,<blank>,<blank>,COLLATIONS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2023-02-19 16:01:09,0,def,0,<blank>,<blank>,0,16357770,<blank>,<blank>,<blank>,<blank>,195,<blank>,<blank>,<blank>,<blank>,COLLATION_CHARACTER_SET_APPLICABILITY,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2023-02-19 16:01:09,1024,def,0,<blank>,<blank>,0,281474976710655,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2023-02-19 16:01:09,COLUMNS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2023-02-19 16:01:09,0,def,0,<blank>,<blank>,0,16757145,<blank>,<blank>,<blank>,<blank>,2565,<blank>,<blank>,<blank>,<blank>,COLUMN_PRIVILEGES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2023-02-19 16:01:09,0,def,0,<blank>,<blank>,0,16574250,<blank>,<blank>,<blank>,<blank>,490,<blank>,<blank>,<blank>,<blank>,ENGINES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2023-02-19 16:01:09,1024,def,0,<blank>,<blank>,0,281474976710655,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2023-02-19 16:01:09,EVENTS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2023-02-19 16:01:09,0,def,0,<blank>,<blank>,0,16768412,<blank>,<blank>,<blank>,<blank>,14468,<blank>,<blank>,<blank>,<blank>,FILES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2023-02-19 16:01:09,0,def,0,<blank>,<blank>,0,16755036,<blank>,<blank>,<blank>,<blank>,3268,<blank>,<blank>,<blank>,<blank>,GLOBAL_STATUS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2023-02-19 16:01:09,0,def,0,<blank>,<blank>,0,16755036,<blank>,<blank>,<blank>,<blank>,3268,<blank>,<blank>,<blank>,<blank>,GLOBAL_VARIABLES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2023-02-19 16:01:09,0,def,0,<blank>,<blank>,0,16762755,<blank>,<blank>,<blank>,<blank>,4637,<blank>,<blank>,<blank>,<blank>,KEY_COLUMN_USAGE,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2023-02-19 16:01:09,1024,def,0,<blank>,<blank>,0,281474976710655,<blank>,<blank>,<blank>,<blank>,0,<blank>,<blank>,<blank>,2023-02-19 16:01:09,OPTIMIZER_TRACE,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
